Team,Class,League,MLB Affiliation,State
Aberdeen IronBirds,Class A Short,New York-Penn,BAL,MD,
Akron RubberDucks,Double-A,Eastern,CLE,OH,
Albuquerque Isotopes,Triple-A,Pacific Coast,COL,NM,
Altoona Curve,Double-A,Eastern,PIT,PA,
Amarillo,Double-A,Texas,SD,TX,
Arkansas Travelers,Double-A,Texas,SEA,AR,
Asheville Tourists,Class A,South Atlantic,COL,NC,
Auburn Doubledays,Class A Short,New York-Penn,WSH,NY,
Augusta GreenJackets,Class A,South Atlantic,SF,SC,
Batavia Muckdogs,Class A Short,New York-Penn,MIA,NY,
Beloit Snappers,Class A,Midwest,OAK,WI,
Billings Mustangs,Rookie,Pioneer,CIN,MT,
Biloxi Shuckers,Double-A,Southern,MIL,MS,
Binghamton Rumble Ponies,Double-A,Eastern,NYM,NY,
Birmingham Barons,Double-A,Southern,CWS,AL,
Bluefield Blue Jays,Rookie,Appalachian,TOR,WV,
Boise Hawks,Class A Short,Northwest,COL,ID,
Bowie Baysox,Double-A,Eastern,BAL,MD,
Bowling Green Hot Rods,Class A,Midwest,TB,KY,
Bradenton Marauders,Class A Advanced,Florida State,PIT,FL,
Bristol Pirates,Rookie,Appalachian,PIT,VA,
Brooklyn Cyclones,Class A Short,New York-Penn,NYM,NY,
Buffalo Bisons,Triple-A,International,TOR,NY,
Burlington Bees,Class A,Midwest,LAA,IA,
Burlington Royals,Rookie,Appalachian,KC,NC,
Carolina Mudcats,Class A Advanced,Carolina,MIL,NC,
Cedar Rapids Kernels,Class A,Midwest,MIN,IA,
Charleston RiverDogs,Class A,South Atlantic,NYY,SC,
Charlotte Knights,Triple-A,International,CWS,NC,
Charlotte Stone Crabs,Class A Advanced,Florida State,TB,FL,
Chattanooga Lookouts,Double-A,Southern,CIN,TN,
Clearwater Threshers,Class A Advanced,Florida State,PHI,FL,
Clinton LumberKings,Class A,Midwest,MIA,IA,
Colorado Springs Sky Sox,Rookie,Pioneer,MIL,CO,
Columbia Fireflies,Class A,South Atlantic,NYM,SC,
Columbus Clippers,Triple-A,International,CLE,OH,
Connecticut Tigers,Class A Short,New York-Penn,DET,CT,
Corpus Christi Hooks,Double-A,Texas,HOU,TX,
Danville Braves,Rookie,Appalachian,ATL,VA,
Dayton Dragons,Class A,Midwest,CIN,OH,
Daytona Tortugas,Class A Advanced,Florida State,CIN,FL,
Delmarva Shorebirds,Class A,South Atlantic,BAL,MD,
Down East Wood Ducks,Class A Advanced,Carolina,TEX,NC,
Dunedin Blue Jays,Class A Advanced,Florida State,TOR,FL,
Durham Bulls,Triple-A,International,TB,NC,
El Paso Chihuahuas,Triple-A,Pacific Coast,SD,TX,
Elizabethton Twins,Rookie,Appalachian,MIN,TN,
Erie SeaWolves,Double-A,Eastern,DET,PA,
Eugene Emeralds,Class A Short,Northwest,CHC,OR,
Everett AquaSox,Class A Short,Northwest,SEA,WA,
Fayetteville Woodpeckers,Class A Advanced,Carolina,HOU,NC,
Florida Fire Frogs,Class A Advanced,Florida State,ATL,FL,
Fort Myers Miracle,Class A Advanced,Florida State,MIN,FL,
Fort Wayne TinCaps,Class A,Midwest,SD,IN,
Frederick Keys,Class A Advanced,Carolina,BAL,MD,
Fresno Grizzlies,Triple-A,Pacific Coast,WSH,CA,
Frisco RoughRiders,Double-A,Texas,TEX,TX,
Grand Junction Rockies,Rookie,Pioneer,COL,CO,
Great Falls Voyagers,Rookie,Pioneer,CWS,MT,
Great Lakes Loons,Class A,Midwest,LAD,MI,
Greeneville Reds,Rookie,Appalachian,CIN,TN,
Greensboro Grasshoppers,Class A,South Atlantic,PIT,NC,
Greenville Drive,Class A,South Atlantic,BOS,SC,
Gwinnett Stripers,Triple-A,International,ATL,GA,
Hagerstown Suns,Class A,South Atlantic,WSH,MD,
Harrisburg Senators,Double-A,Eastern,WSH,PA,
Hartford Yard Goats,Double-A,Eastern,COL,CT,
Hickory Crawdads,Class A,South Atlantic,TEX,NC,
Hillsboro Hops,Class A Short,Northwest,ARI,OR,
Hudson Valley Renegades,Class A Short,New York-Penn,TB,NY,
Idaho Falls Chukars,Rookie,Pioneer,KC,ID,
Indianapolis Indians,Triple-A,International,PIT,IN,
Inland Empire 66ers,Class A Advanced,California,LAA,CA,
Iowa Cubs,Triple-A,Pacific Coast,CHC,IA,
Jackson Generals,Double-A,Southern,ARI,TN,
Jacksonville Jumbo Shrimp,Double-A,Southern,MIA,FL,
Johnson City Cardinals,Rookie,Appalachian,STL,TN,
Jupiter Hammerheads,Class A Advanced,Florida State,MIA,FL,
Kane County Cougars,Class A,Midwest,ARI,IL,
Kannapolis Intimidators,Class A,South Atlantic,CWS,NC,
Kingsport Mets,Rookie,Appalachian,NYM,TN,
Lake County Captains,Class A,Midwest,CLE,OH,
Lake Elsinore Storm,Class A Advanced,California,SD,CA,
Lakeland Flying Tigers,Class A Advanced,Florida State,DET,FL,
Lakewood BlueClaws,Class A,South Atlantic,PHI,NJ,
Lancaster JetHawks,Class A Advanced,California,COL,CA,
Lansing Lugnuts,Class A,Midwest,TOR,MI,
Las Vegas 51s,Triple-A,Pacific Coast,OAK,NV,
Lehigh Valley IronPigs,Triple-A,International,PHI,PA,
Lexington Legends,Class A,South Atlantic,KC,KY,
Louisville Bats,Triple-A,International,CIN,KY,
Lowell Spinners,Class A Short,New York-Penn,BOS,MA,
Lynchburg Hillcats,Class A Advanced,Carolina,CLE,VA,
Mahoning Valley Scrappers,Class A Short,New York-Penn,CLE,OH,
Memphis Redbirds,Triple-A,Pacific Coast,STL,TN,
Midland RockHounds,Double-A,Texas,OAK,TX,
Mississippi Braves,Double-A,Southern,ATL,MS,
Missoula Osprey,Rookie,Pioneer,ARI,MT,
Mobile BayBears,Double-A,Southern,LAA,AL,
Modesto Nuts,Class A Advanced,California,SEA,CA,
Montgomery Biscuits,Double-A,Southern,TB,AL,
Myrtle Beach Pelicans,Class A Advanced,Carolina,CHC,SC,
Nashville Sounds,Triple-A,Pacific Coast,TEX,TN,
New Hampshire Fisher Cats,Double-A,Eastern,TOR,NH,
New Orleans Baby Cakes,Triple-A,Pacific Coast,MIA,LA,
Norfolk Tides,Triple-A,International,BAL,VA,
Northwest Arkansas Naturals,Double-A,Texas,KC,AR,
Ogden Raptors,Rookie,Pioneer,LAD,UT,
Oklahoma City Dodgers,Triple-A,Pacific Coast,LAD,OK,
Omaha Storm Chasers,Triple-A,Pacific Coast,KC,NE,
Orem Owlz,Rookie,Pioneer,LAA,UT,
Palm Beach Cardinals,Class A Advanced,Florida State,STL,FL,
Pawtucket Red Sox,Triple-A,International,BOS,RI,
Pensacola Blue Wahoos,Double-A,Southern,MIN,FL,
Peoria Chiefs,Class A,Midwest,STL,IL,
Portland Sea Dogs,Double-A,Eastern,BOS,ME,
Potomac Nationals,Class A Advanced,Carolina,WSH,VA,
Princeton Rays,Rookie,Appalachian,TB,WV,
Pulaski Yankees,Rookie,Appalachian,NYY,VA,
Quad Cities River Bandits,Class A,Midwest,HOU,IA,
Rancho Cucamonga Quakes,Class A Advanced,California,LAD,CA,
Reading Fightin Phils,Double-A,Eastern,PHI,PA,
Reno Aces,Triple-A,Pacific Coast,ARI,NV,
Richmond Flying Squirrels,Double-A,Eastern,SF,VA,
Rochester Red Wings,Triple-A,International,MIN,NY,
Rome Braves,Class A,South Atlantic,ATL,GA,
Round Rock Express,Triple-A,Pacific Coast,HOU,TX,
Sacramento River Cats,Triple-A,Pacific Coast,SF,CA,
Salem Red Sox,Class A Advanced,Carolina,BOS,VA,
Salem-Keizer Volcanoes,Class A Short,Northwest,SF,OR,
Salt Lake Bees,Triple-A,Pacific Coast,LAA,UT,
San Antonio Missions,Triple-A,Pacific Coast,MIL,TX,
San Jose Giants,Class A Advanced,California,SF,CA,
Scranton/Wilkes-Barre RailRiders,Triple-A,International,NYY,PA,
South Bend Cubs,Class A,Midwest,CHC,IN,
Spokane Indians,Class A Short,Northwest,TEX,WA,
Springfield Cardinals,Double-A,Texas,STL,MO,
St. Lucie Mets,Class A Advanced,Florida State,NYM,FL,
State College Spikes,Class A Short,New York-Penn,STL,PA,
Staten Island Yankees,Class A Short,New York-Penn,NYY,NY,
Stockton Ports,Class A Advanced,California,OAK,CA,
Syracuse Mets,Triple-A,International,NYM,NY,
Tacoma Rainiers,Triple-A,Pacific Coast,SEA,WA,
Tampa Tarpons,Class A Advanced,Florida State,NYY,FL,
Tennessee Smokies,Double-A,Southern,CHC,TN,
Toledo Mud Hens,Triple-A,International,DET,OH,
Trenton Thunder,Double-A,Eastern,NYY,NJ,
Tri-City Dust Devils,Class A Short,Northwest,SD,WA,
Tri-City ValleyCats,Class A Short,New York-Penn,HOU,NY,
Tulsa Drillers,Double-A,Texas,LAD,OK,
Vancouver Canadians,Class A Short,Northwest,TOR,BC,
Vermont Lake Monsters,Class A Short,New York-Penn,OAK,VT,
Visalia Rawhide,Class A Advanced,California,ARI,CA,
West Michigan Whitecaps,Class A,Midwest,DET,MI,
West Virginia Black Bears,Class A Short,New York-Penn,PIT,WV,
West Virginia Power,Class A,South Atlantic,SEA,WV,
Williamsport Crosscutters,Class A Short,New York-Penn,PHI,PA,
Wilmington Blue Rocks,Class A Advanced,Carolina,KC,DE,
Winston-Salem Dash,Class A Advanced,Carolina,CWS,NC,
Wisconsin Timber Rattlers,Class A,Midwest,MIL,WI,
Team,Class,League,MLB Affiliation,State,Tickets
AZL Angels,Rookie,Arizona,LAA,AZ, 
AZL Athletics,Rookie,Arizona,OAK,AZ, 
AZL Brewers,Rookie,Arizona,MIL,AZ, 
AZL Cubs 1,Rookie,Arizona,CHC,AZ, 
AZL Cubs 2,Rookie,Arizona,CHC,AZ, 
AZL D-backs,Rookie,Arizona,ARI,AZ, 
AZL Dodgers,Rookie,Arizona,LAD,AZ, 
AZL Giants Black,Rookie,Arizona,SF,AZ, 
AZL Giants Orange,Rookie,Arizona,SF,AZ, 
AZL Indians 1,Rookie,Arizona,CLE,AZ, 
AZL Indians 2,Rookie,Arizona,CLE,AZ, 
AZL Mariners,Rookie,Arizona,SEA,AZ, 
AZL Padres 1,Rookie,Arizona,SD,AZ, 
AZL Padres 2,Rookie,Arizona,SD,AZ, 
AZL Rangers,Rookie,Arizona,TEX,AZ, 
AZL Reds,Rookie,Arizona,CIN,AZ, 
AZL Royals,Rookie,Arizona,KC,AZ, 
AZL White Sox,Rookie,Arizona,CWS,AZ, 
Acereros del Norte,Triple-A,Mexican, ,MX, 
Algodoneros Union Laguna,Triple-A,Mexican, ,MX, 
Bravos de Leon,Triple-A,Mexican, ,MX, 
DSL Angels,Rookie,Dominican Summer,LAA,DR, 
DSL Astros,Rookie,Dominican Summer,HOU,DR, 
DSL Athletics,Rookie,Dominican Summer,OAK,DR, 
DSL Blue Jays,Rookie,Dominican Summer,TOR,DR, 
DSL Braves,Rookie,Dominican Summer,ATL,DR, 
DSL Brewers,Rookie,Dominican Summer,MIL,DR, 
DSL Cardinals Blue,Rookie,Dominican Summer,STL,DR, 
DSL Cardinals Red,Rookie,Dominican Summer,STL,DR, 
DSL Colorado,Rookie,Dominican Summer,COL,DR, 
DSL Cubs1,Rookie,Dominican Summer,CHC,DR, 
DSL Cubs2,Rookie,Dominican Summer,CHC,DR, 
DSL D-backs1,Rookie,Dominican Summer,ARI,DR, 
DSL D-backs2,Rookie,Dominican Summer,ARI,DR, 
DSL Dodgers Guerrero,Rookie,Dominican Summer,LAD,DR, 
DSL Dodgers Robinson,Rookie,Dominican Summer,LAD,DR, 
DSL Giants,Rookie,Dominican Summer,SF,DR, 
DSL Indians,Rookie,Dominican Summer,CLE,DR, 
DSL Indians/Brewers,Rookie,Dominican Summer, ,DR, 
DSL Mariners,Rookie,Dominican Summer,SEA,DR, 
DSL Marlins,Rookie,Dominican Summer,MIA,DR, 
DSL Mets1,Rookie,Dominican Summer,NYM,DR, 
DSL Mets2,Rookie,Dominican Summer,NYM,DR, 
DSL Nationals,Rookie,Dominican Summer,WSH,DR, 
DSL Orioles,Rookie,Dominican Summer,BAL,DR, 
DSL Padres,Rookie,Dominican Summer,SD,DR, 
DSL Phillies Red,Rookie,Dominican Summer,PHI,DR, 
DSL Phillies White,Rookie,Dominican Summer,PHI,DR, 
DSL Pirates1,Rookie,Dominican Summer,PIT,DR, 
DSL Pirates2,Rookie,Dominican Summer,PIT,DR, 
DSL Rangers1,Rookie,Dominican Summer,TEX,DR, 
DSL Rangers2,Rookie,Dominican Summer,TEX,DR, 
DSL Rays1,Rookie,Dominican Summer,TB,DR, 
DSL Rays2,Rookie,Dominican Summer,TB,DR, 
DSL Red Sox1,Rookie,Dominican Summer,BOS,DR, 
DSL Red Sox2,Rookie,Dominican Summer,BOS,DR, 
DSL Reds,Rookie,Dominican Summer,CIN,DR, 
DSL Rockies,Rookie,Dominican Summer,COL,DR, 
DSL Royals1,Rookie,Dominican Summer,KC,DR, 
DSL Royals2,Rookie,Dominican Summer,KC,DR, 
DSL Tigers1,Rookie,Dominican Summer,DET,DR, 
DSL Tigers2,Rookie,Dominican Summer,DET,DR, 
DSL Twins,Rookie,Dominican Summer,MIN,DR, 
DSL White Sox,Rookie,Dominican Summer,CWS,DR, 
DSL Yankees,Rookie,Dominican Summer,NYY,DR, 
Diablos Rojos del Mexico,Triple-A,Mexican, ,MX, 
GCL Astros,Rookie,Gulf Coast,HOU,FL, 
GCL Blue Jays,Rookie,Gulf Coast,TOR,FL, 
GCL Braves,Rookie,Gulf Coast,ATL,FL, 
GCL Cardinals,Rookie,Gulf Coast,STL,FL, 
GCL Marlins,Rookie,Gulf Coast,MIA,FL, 
GCL Mets,Rookie,Gulf Coast,NYM,FL, 
GCL Nationals,Rookie,Gulf Coast,WSH,FL, 
GCL Orioles,Rookie,Gulf Coast,BAL,FL, 
GCL Phillies East,Rookie,Gulf Coast,PHI,FL, 
GCL Phillies West,Rookie,Gulf Coast,PHI,FL, 
GCL Pirates,Rookie,Gulf Coast,PIT,FL, 
GCL Rays,Rookie,Gulf Coast,TB,FL, 
GCL Red Sox,Rookie,Gulf Coast,BOS,FL, 
GCL Tigers East,Rookie,Gulf Coast,DET,FL, 
GCL Tigers West,Rookie,Gulf Coast,DET,FL, 
GCL Twins,Rookie,Gulf Coast,MIN,FL, 
GCL Yankees East,Rookie,Gulf Coast,NYY,FL, 
GCL Yankees West,Rookie,Gulf Coast,NYY,FL, 
Generales de Durango,Triple-A,Mexican, ,MX, 
Guerreros de Oaxaca,Triple-A,Mexican, ,MX, 
Leones de Yucatan,Triple-A,Mexican, ,MX, 
Olmecas de Tabasco,Triple-A,Mexican, ,MX, 
Pericos de Puebla,Triple-A,Mexican, ,MX, 
Piratas de Campeche,Triple-A,Mexican, ,MX, 
Rieleros de Aguascalientes,Triple-A,Mexican, ,MX, 
Saraperos de Saltillo,Triple-A,Mexican, ,MX, 
Sultanes de Monterrey,Triple-A,Mexican, ,MX, 
Tecolotes de los Dos Laredos,Triple-A,Mexican, ,MX, 
Tigres de Quintana Roo,Triple-A,Mexican, ,MX, 
Toros de Tijuana,Triple-A,Mexican, ,MX, 
Complex and Non-Domestic Leagues


Read more: http://www.milb.com/milb/info/teams.jsp#ixzz5WlGFe0jq